STARLINK30104.ElapsedSecs   STARLINK30104.Earth.SMA   STARLINK30104.Earth.TA    STARLINK30104.EarthMJ2000Eq.RAAN   STARLINK30104.Earth.ECC   STARLINK30104.EarthMJ2000Eq.INC   STARLINK30104.EarthMJ2000Eq.AOP   
0                           6937.189                  58.88279999993596         319.1954                           0.0002359999999998255     43.005                            301.201500000064                  
59.99999988125637           6937.189000000003         62.64002858881086         319.1954                           0.0002360000000000827     43.00500000000001                 301.2015000001214                 
120.0000000768341           6937.189000000007         66.3971539444117          319.1954                           0.0002360000000002333     43.005                            301.201500000181                  
179.9999999580905           6937.189000000009         70.15417279260704         319.1954                           0.00023600000000037       43.00500000000001                 301.2015000002628                 
240.0000001536682           6937.189000000011         73.91108231759904         319.1954                           0.0002360000000003712     43.00500000000001                 301.2015000003298                 
300.0000000349246           6937.189000000014         77.66788017382235         319.1954                           0.0002360000000003726     43.00500000000002                 301.2015000004035                 
359.999999916181            6937.189000000017         81.42456449602197         319.1954                           0.0002360000000003818     43.00500000000001                 301.2015000004709                 
420.0000001117587           6937.189000000018         85.18113390709597         319.1954                           0.0002360000000002861     43.00500000000002                 301.2015000005539                 
479.9999999930151           6937.189000000024         88.93758752390112         319.1953999999999                  0.0002360000000000252     43.005                            301.2015000007133                 
539.9999998742715           6937.189000000024         92.69392496127806         319.1953999999999                  0.000236000000000047      43.005                            301.201500000705                  
600.0000000698492           6937.189000000023         96.45014633286789         319.1953999999999                  0.0002360000000000304     43.005                            301.2015000007051                 
659.9999999511056           6937.189000000026         100.2062522510508         319.1953999999999                  0.0002359999999999313     43.00499999999999                 301.201500000766                  
720.0000001466833           6937.18900000003          103.9622438241213         319.1953999999999                  0.0002359999999997607     43.00499999999999                 301.2015000008963                 
780.0000000279397           6937.189000000032         107.7181226515113         319.1953999999999                  0.0002359999999996051     43.00499999999999                 301.2015000009651                 
839.999999909196            6937.189000000039         111.4738908163763         319.1953999999999                  0.0002359999999992977     43.00499999999998                 301.2015000011382                 
900.0000001047738           6937.18900000004          115.2295508772631         319.1953999999999                  0.0002359999999990386     43.00499999999998                 301.2015000011617                 
959.9999999860302           6937.189000000044         118.985105856148          319.1953999999999                  0.0002359999999988472     43.00499999999997                 301.2015000012416                 
1019.999999867287           6937.189000000041         122.7405592262393         319.1954                           0.0002359999999989552     43.00499999999998                 301.201500001177                  
1080.000000062864           6937.189000000041         126.4959148961651         319.1954                           0.0002359999999986809     43.00499999999997                 301.2015000011822                 
1139.999999944121           6937.189000000043         130.2511771938043         319.1954                           0.0002359999999984193     43.00499999999997                 301.2015000012067                 
1200.000000139698           6937.18900000004          134.0063508474294         319.1954                           0.0002359999999985353     43.00499999999997                 301.2015000011555                 
1260.000000020955           6937.189000000048         137.7614409649519         319.1954                           0.0002359999999978927     43.00499999999997                 301.2015000013023                 
1319.999999902211           6937.189000000049         141.5164530129338         319.1954                           0.0002359999999978024     43.00499999999997                 301.2015000013179                 
1380.000000097789           6937.189000000049         145.2713927920816         319.1954                           0.0002359999999976715     43.00499999999997                 301.2015000012935                 
1439.999999979045           6937.189000000052         149.0262664127829         319.1954                           0.0002359999999973934     43.00499999999997                 301.2015000012979                 
1499.999999860302           6937.189000000053         152.7810802689138         319.1954                           0.0002359999999971003     43.00499999999998                 301.2015000013498                 
1560.000000055879           6937.189000000057         156.5358410104771         319.1954                           0.0002359999999966378     43.00499999999997                 301.2015000013531                 
1619.999999937136           6937.189000000059         160.2905555148023         319.1954                           0.0002359999999962304     43.00499999999997                 301.2015000013863                 
1680.000000132713           6937.189000000068         164.0452308573362         319.1954                           0.0002359999999954754     43.00499999999998                 301.2015000014344                 
1740.00000001397            6937.189000000064         167.7998742813456         319.1954                           0.0002359999999957035     43.00499999999999                 301.2015000013692                 
1799.999999895226           6937.189000000063         171.5544931664783         319.1954000000001                  0.0002359999999955332     43.00499999999999                 301.2015000013611                 
1860.000000090804           6937.189000000065         175.3090949976605         319.1954                           0.0002359999999952979     43.00499999999999                 301.2015000013739                 
1919.99999997206            6937.189000000069         179.0636873328406         319.1954                           0.0002359999999948278     43.00499999999999                 301.2015000013681                 
1979.999999853317           6937.189000000068         182.8182777705649         319.1954                           0.0002359999999948431     43.00499999999998                 301.2015000013672                 
2040.000000048894           6937.189000000067         186.5728739175247         319.1954                           0.0002359999999950781     43.005                            301.2015000013698                 
2099.999999930151           6937.189000000069         190.3274833560053         319.1954                           0.0002359999999947223     43.00499999999999                 301.2015000013383                 
2160.000000125729           6937.189000000069         194.0821136112959         319.1954                           0.0002359999999947353     43.005                            301.2015000013218                 
2220.000000006985           6937.189000000066         197.8367721195834         319.1954                           0.0002359999999951241     43.00500000000001                 301.2015000013383                 
2279.999999888241           6937.189000000069         201.5914661961587         319.1954                           0.0002359999999947011     43.00500000000002                 301.2015000013235                 
2340.000000083819           6937.189000000069         205.3462030039285         319.1954                           0.0002359999999946451     43.00500000000002                 301.201500001284                  
2399.999999965075           6937.189000000073         209.1009895228114         319.1954000000001                  0.0002359999999942475     43.00500000000001                 301.201500001215                  
2459.999999846332           6937.189000000072         212.8558325196876         319.1954000000001                  0.0002359999999941855     43.00500000000001                 301.2015000012378                 
2520.00000004191            6937.189000000077         216.6107385198514         319.1954000000001                  0.0002359999999937676     43.00500000000001                 301.2015000011394                 
2579.999999923166           6937.189000000077         220.3657137782875         319.1954000000001                  0.0002359999999938387     43.00500000000002                 301.2015000011133                 
2640.000000118744           6937.189000000079         224.1207642535329         319.1954000000001                  0.0002359999999936234     43.00500000000002                 301.2015000010627                 
