STARLINK30104.ElapsedSecs   STARLINK30104.Earth.SMA   STARLINK30104.Earth.TA    STARLINK30104.EarthFixed.RAAN   STARLINK30104.Earth.ECC   STARLINK30104.EarthFixed.INC   STARLINK30104.EarthFixed.AOP   
0                           6937.189                  58.88279999993596         134.9412830522297               0.0002359999999998255     45.83985029544092              180.3418168295879              
59.99999988125637           6937.189000000003         62.64002858881086         134.9404870377956               0.0002360000000000827     45.82700784599606              183.9250504619889              
120.0000000768341           6937.189000000007         66.3971539444117          134.9354563763113               0.0002360000000002333     45.79139397334583              187.5105381481575              
179.9999999580905           6937.189000000009         70.15417279260704         134.9222524713301               0.00023600000000037       45.73357853811368              191.1009776149247              
240.0000001536682           6937.189000000011         73.91108231759904         134.8970400816014               0.0002360000000003712     45.65448824143481              194.6990132269335              
300.0000000349246           6937.189000000014         77.66788017382235         134.8561377012999               0.0002360000000003726     45.55539478947328              198.3072067322657              
359.999999916181            6937.189000000017         81.42456449602197         134.7960682031107               0.0002360000000003818     45.43789843415527              201.9280062870113              
420.0000001117587           6937.189000000018         85.18113390709597         134.7136096911771               0.0002360000000002861     45.30390688168654              205.5637134636054              
479.9999999930151           6937.189000000024         88.93758752390112         134.6058463089102               0.0002360000000000252     45.15560957409284              209.2164481555612              
539.9999998742715           6937.189000000024         92.69392496127806         134.4702185533349               0.000236000000000047      44.99544737601271              212.8881115448682              
600.0000000698492           6937.189000000023         96.45014633286789         134.3045724531758               0.0002360000000000304     44.82607774296245              216.5803475916746              
659.9999999511056           6937.189000000026         100.2062522510508         134.1072066747287               0.0002359999999999313     44.65033551187329              220.2945038287463              
720.0000001466833           6937.18900000003          103.9622438241213         133.8769163456475               0.0002359999999997607     44.47118954291658              224.0315925803256              
780.0000000279397           6937.189000000032         107.7181226515113         133.6130321641512               0.0002359999999996051     44.29169555536335              227.7922540551667              
839.999999909196            6937.189000000039         111.4738908163763         133.3154530498074               0.0002359999999992977     44.11494563944318              231.576723059385               
900.0000001047738           6937.18900000004          115.2295508772631         132.9846704859627               0.0002359999999990386     43.94401508816732              235.3848013037108              
959.9999999860302           6937.189000000044         118.985105856148          132.6217825753586               0.0002359999999988472     43.78190737179098              239.2158374059971              
1019.999999867287           6937.189000000041         122.7405592262393         132.2284958796381               0.0002359999999989552     43.63149826314461              243.0687166780805              
1080.000000062864           6937.189000000041         126.4959148961651         131.807113357603                0.0002359999999986809     43.49548030082579              246.941862606484               
1139.999999944121           6937.189000000043         130.2511771938043         131.3605070694131               0.0002359999999984193     43.37630893242555              250.833251570559               
1200.000000139698           6937.18900000004          134.0063508474294         130.8920748816718               0.0002359999999985353     43.27615179297458              254.7404417885102              
1260.000000020955           6937.189000000048         137.7614409649519         130.4056811841999               0.0002359999999978927     43.19684262626589              258.6606167625027              
1319.999999902211           6937.189000000049         141.5164530129338         129.905582403395                0.0002359999999978024     43.13984133302169              262.5906426541102              
1380.000000097789           6937.189000000049         145.2713927920816         129.3963390653223               0.0002359999999976715     43.10620151982985              266.5271381286462              
1439.999999979045           6937.189000000052         149.0262664127829         128.8827169783885               0.0002359999999973934     43.09654672393437              270.4665543454401              
1499.999999860302           6937.189000000053         152.7810802689138         128.3695808467104               0.0002359999999971003     43.1110562080892               274.4052620309012              
1560.000000055879           6937.189000000057         156.5358410104771         127.8617841962423               0.0002359999999966378     43.14946087290419              278.3396420351842              
1619.999999937136           6937.189000000059         160.2905555148023         127.3640597281899               0.0002359999999962304     43.2110494455756               282.2661755043644              
1680.000000132713           6937.189000000068         164.0452308573362         126.8809141818325               0.0002359999999954754     43.29468470303513              286.1815298305806              
1740.00000001397            6937.189000000064         167.7998742813456         126.4165315079362               0.0002359999999957035     43.39882910539497              290.0826368688586              
1799.999999895226           6937.189000000063         171.5544931664783         125.9746874983992               0.0002359999999955332     43.52157888073277              293.9667604920035              
1860.000000090804           6937.189000000065         175.3090949976605         125.5586783174395               0.0002359999999952979     43.66070533742526              297.8315513260961              
1919.99999997206            6937.189000000069         179.0636873328406         125.1712644569927               0.0002359999999948278     43.81370199965549              301.6750873832261              
1979.999999853317           6937.189000000068         182.8182777705649         124.8146307478645               0.0002359999999948431     43.97783607018307              305.4959001954703              
2040.000000048894           6937.189000000067         186.5728739175247         124.4903622664592               0.0002359999999950781     44.1502027177748               309.2929868733021              
2099.999999930151           6937.189000000069         190.3274833560053         124.1994352416942               0.0002359999999947223     44.32778075331026              313.0658091990457              
2160.000000125729           6937.189000000069         194.0821136112959         123.9422215326072               0.0002359999999947353     44.50748838208996              316.8142813812521              
2220.000000006985           6937.189000000066         197.8367721195834         123.7185049428682               0.0002359999999951241     44.68623788165533              320.5387484226892              
2279.999999888241           6937.189000000069         201.5914661961587         123.5275073926099               0.0002359999999947011     44.86098823611399              324.2399571980506              
2340.000000083819           6937.189000000069         205.3462030039285         123.3679230217356               0.0002359999999946451     45.02879494330943              327.9190223188104              
2399.999999965075           6937.189000000073         209.1009895228114         123.237958358266                0.0002359999999942475     45.18685638729077              331.5773887133287              
2459.999999846332           6937.189000000072         212.8558325196876         123.1353768801428               0.0002359999999941855     45.33255632634801              335.2167926061369              
2520.00000004191            6937.189000000077         216.6107385198514         123.0575465821499               0.0002359999999937676     45.46350218104597              338.8392222766452              
2579.999999923166           6937.189000000077         220.3657137782875         123.00148939551                 0.0002359999999938387     45.57755891511995              342.4468796459258              
2640.000000118744           6937.189000000079         224.1207642535329         122.9639315774992               0.0002359999999936234     45.67287838521727              346.0421434067367              
